رمز الشركة,اسم الشركة,السوق,السعر,التغير الشهري,أعلى سعر سنوي,أدنى سعر سنوي,القيمة السوقية,تاريخ الادراج,مكرر الربحية,مكرر الربحية المتوقع,صافي الربح,نمو صافي الربح,مكرر المبيعات,نمو المبيعات,نمو التدفقات النقدية,مكرر التدفقات النقدية,العائد على حقوق الملكية,العائد على راس المال المستثمر,توزيعات الأرباح,نسبة التوزيعات من الأرباح,نمو التوزيعات,تقييم التوزيعات,,
4140.SR, صادرات , تداول , 2.49 ,8.73%, 3.05 , 1.98 ," 484,056,000 ",04/03/2010, غير متوفر , غير متوفر ," (17,016,767)",36%, 20.53 ,4865%,26%, سالب ,-12%,-22%,0.00%,حققت خسائر,0.00%,NA,,
6013.SR, التطويرية الغذائية , تداول , 112.20 ,-2.77%, 148.00 , 100.20 ," 336,600,000 ",01/07/2021," 2,244.00 ", غير متوفر ," 126,418 ",-42%, 3.53 ,-9%,6%, 14.89 ,0%,-1%,0.00%,119.67%,0.00%,NA,,
2220.SR, معدنية , تداول , 15.36 ,-0.26%, 19.90 , 12.52 ," 543,744,000 ",04/03/2010, غير متوفر , غير متوفر ," (27,353,415)",13%, 2.22 ,7%,69%, سالب ,-10%,0%,0.00%,حققت خسائر,0.00%,NA,,
9523.SR, جروب فايف , نمو , 32.70 ,-7.50%, 68.00 , 32.20 ," 915,600,000 ",20/12/2021, 105.48 , غير متوفر ," 8,900,608 ",138%, 1.76 ,98%,-125%, 18.45 ,3%,3%,0.00%,0.00%,0.00%,NA,,
9627.SR, طوارئيات , نمو , 21.54 ,-12.01%, 35.80 , 14.52 , Unavailable ,29/01/2025, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2160.SR, أميانتيت , تداول , 23.02 ,-2.79%, 35.15 , 19.58 ," 1,020,532,124 ",04/03/2010, 2.72 , غير متوفر ," 439,836,000 ",352%, 1.20 ,18%,-191%, سالب ,48%,-7%,0.00%,0.00%,0.00%,NA,,
8190.SR, المتحدة للتأمين , تداول , 8.96 ,-0.22%, 14.00 , 7.77 ," 358,400,000 ",04/03/2010, 17.92 , غير متوفر ," (15,055,000)",-384%, 0.42 ,-4%,-164%, سالب ,-6%,0%,0.00%,حققت خسائر,0.00%,NA,,
9595.SR, وسم , نمو , 41.90 ,-5.42%, 58.80 , 34.00 ," 89,875,500 ",21/02/2024, غير متوفر , غير متوفر , Unavailable ,34%, 3.21 ,166%,0%, سالب ,21%,17%,0.00%,0.00%,0.00%,NA,,
3008.SR, الكثيري , تداول , 2.29 ,2.69%, 3.05 , 1.92 ," 517,640,760 ",04/11/2019, غير متوفر , غير متوفر ," (5,345,267)",-342%, 2.92 ,0%,14%, سالب ,-4%,2%,0.00%,حققت خسائر,0.00%,NA,,
4165.SR, الماجد للعود , تداول , 123.40 ,-2.37%, 198.80 , 103.40 , Unavailable ,07/10/2024, 19.68 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
1820.SR, باين , تداول , 2.23 ,-1.76%, 3.08 , 1.90 ," 702,450,000 ",22/12/2015, غير متوفر , 13.12 ," (49,691,000)",-10%, 1.05 ,3%,183%, 3.48 ,-23%,14%,0.00%,حققت خسائر,0.00%,NA,,
6050.SR, الأسماك , تداول , 112.40 ,12.18%, 189.29 , 83.20 ," 752,923,090 ",03/03/2010, غير متوفر , غير متوفر ," (100,576,857)",-33%, 27.79 ,7%,19%, سالب ,-90%,-62%,0.00%,حققت خسائر,0.00%,NA,,
4220.SR, إعمار , تداول , 15.74 ,9.61%, 20.64 , 12.08 ," 8,236,110,826 ",04/03/2010, غير متوفر , 28.28 ," (1,134,915,000)",-348%, 18.79 ,-59%,-24%, سالب ,-20%,-3%,0.00%,حققت خسائر,0.00%,NA,,
9613.SR, شلفا , نمو , 74.00 ,-10.74%, 108.00 , 70.00 , Unavailable ,06/11/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
2090.SR, جيسكو , تداول , 19.96 ,-4.50%, 29.25 , 18.40 ," 632,066,693 ",03/03/2010, غير متوفر , غير متوفر ," (14,177,037)",218%, 10.36 ,-5%,-93%, سالب ,-4%,0%,0.00%,حققت خسائر,-100.00%,NA,,
4040.SR, سابتكو , تداول , 16.54 ,-4.39%, 23.88 , 14.90 ," 2,067,500,000 ",03/03/2010, غير متوفر , غير متوفر ," 8,020,000 ",73%, 1.45 ,-7%,306%, 8.74 ,1%,2%,0.00%,0.00%,0.00%,NA,,
8310.SR, أمانة للتأمين , تداول , 9.50 ,0.64%, 14.90 , 7.80 ," 408,500,000 ",17/06/2010, 52.78 , غير متوفر ," 12,027,000 ",-53%, 1.90 ,16%,561%, 22.79 ,4%,0%,0.00%,0.00%,0.00%,NA,,
9576.SR, منزل الورق , نمو , 160.00 ,6.67%, 179.25 , 131.20 ," 320,000,000 ",04/09/2023, 19.93 , غير متوفر ," 16,078,870 ",22%, 3.49 ,-1%,50%, سالب ,23%,16%,0.00%,0.00%,0.00%,NA,,
8120.SR, إتحاد الخليج الأهلية , تداول , 14.12 ,-1.94%, 25.70 , 13.00 ," 648,036,383 ",03/03/2010, 8.77 , غير متوفر ," 43,645,516 ",-65%, 0.75 ,20%,-54%, 11.36 ,7%,49%,0.00%,0.00%,0.00%,NA,,
4160.SR, ثمار , تداول , 45.30 ,11.85%, 59.00 , 12.74 ," 294,450,000 ",04/03/2010, غير متوفر , غير متوفر ," (15,312,234)",-39%," 4,089.58 ",0%,-9919%, سالب ,-59%,-64%,0.00%,حققت خسائر,0.00%,NA,,
9617.SR, أرابيكا ستار , نمو , 58.80 ,-18.45%, 88.00 , 58.80 , Unavailable ,05/12/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
4350.SR, الإستثمار ريت , تداول , 9.64 ,52.53%, 11.80 , 5.71 , Unavailable ,04/09/2024, غير متوفر , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
8200.SR, الإعادة السعودية , تداول , 41.55 ,-15.12%, 64.90 , 24.10 ," 4,812,736,500 ",03/03/2010, 7.80 , 14.38 ," 474,811,642 ",282%, 3.92 ,135%,2055%, 22.45 ,34%,21%,0.00%,0.00%,0.00%,NA,,
9540.SR, تدوير , نمو , 7.20 ,0.14%, 8.80 , 5.70 ," 807,552,000 ",31/05/2022, 34.29 , غير متوفر ," 24,694,960 ",31%, 1.38 ,56%,9%, سالب ,9%,6%,0.00%,0.00%,0.00%,NA,,
9558.SR, القمم , نمو , 91.00 ,-18.89%, 114.40 , 78.00 ," 273,000,000 ",02/02/2023, 15.96 , غير متوفر ," 22,059,600 ",36%, 7.94 ,84%,-960%, 30.82 ,18%,17%,0.00%,0.00%,-100.00%,NA,,
6010.SR, نادك , تداول , 23.10 ,-6.10%, 35.60 , 22.00 ," 6,967,884,000 ",04/03/2010, 8.99 , غير متوفر ," 774,631,968 ",156%, 2.16 ,1%,7%, 18.64 ,20%,10%,0.00%,0.05%,-6.06%,NA,,
4141.SR, العمران , تداول , 34.05 ,0.89%, 42.95 , 28.25 ," 408,600,000 ",21/07/2020, غير متوفر , غير متوفر ," (8,823,292)",-340%, 2.94 ,3%,-210%, سالب ,-6%,-2%,0.00%,حققت خسائر,-100.00%,NA,,
6017.SR, جاهز , تداول , 27.90 ,-6.06%, 40.00 , 25.85 , Unavailable ,01/12/2024, 30.33 , غير متوفر , Unavailable ,Unavailable, Unavailable ,Unavailable,Unavailable, Unavailable ,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,NA,,
9557.SR, إدارات , نمو , 532.00 ,-5.20%, 750.00 , 280.00 ," 1,339,764,860 ",26/12/2022, 54.23 , غير متوفر ," 29,103,738 ",42%, 14.69 ,30%,-18%, 193.82 ,58%,44%,0.00%,0.00%,0.00%,NA,,
